"Downloaded on",12/06/2024,"15:56:47 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22search%22%3A%22%5C%22medicare+savings+program%5C%22%22%2C%22chamber%22%3A%22House%22%7D

"Legislation Number",URL,Congress,Title,"Party of Sponsor","Date of Introduction","Latest Summary"
,,,,,,"relations provisions, including measures related to (1) hostage recovery and hostage-taking accountability; (2) scholarly exchanges between the United States and India; and (3) U.S. support for Taiwan, Belarus, Tibet, El Salvador, Guatemala, and Honduras.</p> <p>Further, the division</p> <ul> <li>establishes requirements for the use of cloud services by the Senate Sergeant at Arms;</li> <li>requires the U.S. Postal Service to clarify the applicability of the existing prohibition on mailing cigarettes to electronic nicotine delivery systems (e.g., e-cigarettes and vape pens);</li> <li>modifies the application process, eligibility requirements, and certain calculations related to the Free Application for Federal Student Aid;</li> <li>provides for fee-based access to death information furnished to or maintained by the SSA; and</li> <li>authorizes specified bankruptcy relief to a debtor who suffered a material financial hardship due to COVID-19.</li> </ul> <p>The division also encompasses telecommunications provisions that include repealing the requirement for the Federal Communications Commission to reallocate and auction the 470-512 megahertz (MHz) band (referred to as the T-Band spectrum). This band is a frequency range currently utilized by public-safety entities in certain urban areas. The division (1) establishes the Office of Internet Connectivity and Growth, (2) mandates an interagency agreement to coordinate the distribution of federal funds for new broadband deployment, and (3) establishes requirements related to the assignment and allocation of electromagnetic spectrum between the frequencies of 3450 MHz and 3550 MHz.</p> <p>The division includes measures related to western water and Indian affairs, such as measures that (1) establish an aging infrastructure account in Treasury, (2) ratify the Navajo-Utah Water Rights Settlement Agreement, (3) finalize the Aamodt litigation settlement, (4) authorize the use of certain Bureau of Reclamation facilities and federal land to convey water to recharge certain aquifers, (5) authorize rural water-supply projects in Montana and North Dakota, and (6) establish the Snow Water Supply Forecasting Program.</p> <p>Additionally, the division</p> <ul> <li>recognizes the Horseracing Integrity and Safety Authority for purposes of developing and implementing a horse racing anti-doping and medication control program and a racetrack safety program;</li> <li>extends through FY2023 certain funds previously made available for Community Development Block Grants;</li> <li>authorizes the Federal Trade Commission (FTC) to seek civil penalties from entities engaging in deceptive trade practices associated with the treatment, cure, prevention, mitigation, or diagnosis of COVID-19;</li> <li>requires the Department of Commerce and the FTC to study and submit reports on the state of specified technology industries (e.g., artificial intelligence, quantum computing, blockchain technology, and unmanned delivery services) and the impact of these industries on the U.S. economy;</li> <li>requires the Department of Veterans Affairs (VA) to record as an obligation of the U.S. government certain amounts owed for hospital care or medical services furnished at non-VA facilities;</li> <li>provides for the conveyance of approximately 93 acres of National Forest System land in North Dakota to the Theodore Roosevelt Presidential Library Foundation;</li> <li>requires the State Department to develop a strategy to prioritize and expand educational and professional exchange programs with Mexico; and</li> <li>directs the Consumer Product Safety Commission to ensure that investigators are stationed at ports of entry for the duration of the COVID-19 public health emergency to protect the public against unreasonable risk of injury from consumer products.</li></ul>"
"H.R. 4521",https://www.congress.gov/bill/115th-congress/house-bill/4521,"115th Congress (2017-2018)","SNAP Simplification for the Elderly Act",Democratic,12/01/2017," <p><b>SNAP Simplification for the Elderly Act</b></p> <p>This bill (1) extends the&nbsp;certification period for&nbsp;the Supplemental Nutrition Assistance Program (SNAP)&nbsp;for certain households, (2) expands the use of combined applications for SNAP and certain other benefits, and (3) requires the Department of Agriculture to carry out pilot projects to integrate the delivery of various benefits to certain low-income households.<br /></p>"
"H.R. 3749",https://www.congress.gov/bill/115th-congress/house-bill/3749,"115th Congress (2017-2018)","SNAP Standard Medical Expense Deduction Act of 2017",Democratic,09/12/2017," <p><b>SNAP Standard Medical Expense Deduction Act of 2017 </b></p> <p>This bill amends the Food and Nutrition Act of 2008 to allow households containing an elderly or disabled member to use a standard medical expense deduction for calculating income to apply for Supplemental Nutrition Assistance Program (SNAP, formerly known as the food stamp program) benefits.</p> <p>If the amount of actual costs of allowable medical expenses incurred by the elderly or disabled member for a month, exclusive of special diets, is equal to or greater than $35, the standard medical deduction for each month is: (1) $140 for FY2018, and (2) the preceding year's amount with a specified adjustment for inflation for FY2019 and each subsequent year. If the monthly costs are greater than the sum of the standard medical deduction and $35, the household may deduct the actual costs. </p> <p>The Department of Agriculture (USDA) may approve a standard medical deduction that is higher than the amount required by this bill. </p> <p>USDA must submit specified studies and reports to Congress regarding: (1) state performance in enrolling disabled and elderly individuals in SNAP and specified Medicare programs, (2) disability and food insecurity, and (3) the effectiveness of the standard medical deduction. </p>"
"H.R. 6139",https://www.congress.gov/bill/114th-congress/house-bill/6139,"114th Congress (2015-2016)","Comprehensive Immunosuppressive Drug Coverage for Kidney Transplant Patients Act of 2016",Republican,09/22/2016," <p><strong>Comprehensive Immunosuppressive Drug Coverage for Kidney Transplant Patients Act of 2016</strong></p> <p>This bill amends titles II (Old Age, Survivors, and Disability Insurance) and XVIII (Medicare) of the Social Security Act to indefinitely extend Medicare coverage of immunosuppressive drugs for kidney transplant recipients. Under current law, such coverage is limited to 36 months following a transplant.</p>"
"H.R. 6109",https://www.congress.gov/bill/114th-congress/house-bill/6109,"114th Congress (2015-2016)","Medicare Affordability and Enrollment Act of 2016",Democratic,09/21/2016," <p><strong>Medicare Affordability and Enrollment Act of 2016</strong></p> <p>This bill amends titles XVIII (Medicare) and XIX (Medicaid) of the Social Security Act to:</p> <ul> <li>establish an annual&nbsp;limit on out-of-pocket expenditures for Medicare fee-for-service beneficiaries;</li> <li>expand income-eligibility for cost-sharing and,&nbsp;with respect to beneficiaries consequently eligible for cost-sharing, establish a federal medical assistance percentage of 100% under Medicaid;</li> <li>limit the amount of coinsurance or copayment required of low-income beneficiaries;</li> <li>eliminate the two-year waiting period for Medicare coverage with respect to individuals with disabilities;</li> <li>allow beneficiaries residing in U.S. territories to be eligible for certain premium and cost-sharing subsidies available to other beneficiaries under the Medicare prescription drug benefit; and</li> <li>modify other provisions related to special rules for beneficiaries in Puerto Rico, income and resource determinations, and enrollment procedures.</li></ul> <p>The bill also amends the Medicare Improvements for Patients and Providers Act of 2008 to extend funding for specified beneficiary outreach and education activities.</p>"
"H.R. 1325",https://www.congress.gov/bill/113th-congress/house-bill/1325,"113th Congress (2013-2014)","Comprehensive Immunosuppressive Drug Coverage for Kidney Transplant Patients Act of 2013",Republican,03/21/2013," <p>Comprehensive Immunosuppressive Drug Coverage for Kidney Transplant Patients Act of 2013 - Amends title II (Old Age, Survivors and Disability Benefits) (OASDI) of the Social Security Act (SSA) to extend the months of coverage of immunosuppressive drugs for kidney transplant patients. </p> <p>Amends SSA title XVIII (Medicare) to make eligible for enrollment in Medicare part B (Supplementary Medical Insurance), solely for the purpose of such drug coverage, every individual whose insurance benefits under Medicare part A (Hospital Insurance) have ended by reason of a kidney transplant or the end of any requirement for a regular course of dialysis. </p> <p>Directs the Secretary of Health and Human Services (HHS) to determine a monthly premium rate for such individuals equal to 35% of the monthly actuarial rate for enrollees age 65 and over. Prescribes a formula for detemination of a government contribution to such a premium.</p>"
"H.R. 1428",https://www.congress.gov/bill/113th-congress/house-bill/1428,"113th Congress (2013-2014)","Comprehensive Immunosuppressive Drug Coverage for Kidney Transplant Patients Act of 2013",Republican,04/09/2013," <p>Comprehensive Immunosuppressive Drug Coverage for Kidney Transplant Patients Act of 2013 - Amends title II (Old Age, Survivors and Disability Benefits) (OASDI) of the Social Security Act (SSA) to extend the months of coverage of immunosuppressive drugs for kidney transplant patients. </p> <p>Amends SSA title XVIII (Medicare) to make eligible for enrollment in Medicare part B (Supplementary Medical Insurance), solely for the purpose of such drug coverage, every individual whose insurance benefits under Medicare part A (Hospital Insurance) have ended by reason of a kidney transplant or the end of any requirement for a regular course of dialysis. </p> <p>Directs the Secretary of Health and Human Services (HHS) to determine a monthly premium rate for such individuals equal to 35% of the monthly actuarial rate for enrollees age 65 and over. Prescribes a formula for detemination of a government contribution to such a premium.</p>"
"H.R. 2969",https://www.congress.gov/bill/112th-congress/house-bill/2969,"112th Congress (2011-2012)","Comprehensive Immunosuppressive Drug Coverage for Kidney Transplant Patients Act of 2011",Republican,09/20/2011," <p>Comprehensive Immunosuppressive Drug Coverage for Kidney Transplant Patients Act of 2011 - Amends title II (Old Age, Survivors and Disability Benefits) (OASDI) of the Social Security Act (SSA) to extend the months of coverage of immunosuppressive drugs for kidney transplant patients. </p> <p>Amends SSA title XVIII (Medicare) to make eligible for enrollment in Medicare part B (Supplementary Medical Insurance), solely for the purpose of such drug coverage, every individual whose insurance benefits under Medicare part A (Hospital Insurance) have ended by reason of a kidney transplant or the end of any requirement for a regular course of dialysis. </p>  <p>Directs the Secretary of Health and Human Services (HHS) to determine a monthly premium rate for such individuals equal to 35% of the monthly actuarial rate for enrollees age 65 and over. Prescribes a formula for detemination of a government contribution to such a premium.</p>"
"H.R. 2716",https://www.congress.gov/bill/111th-congress/house-bill/2716,"111th Congress (2009-2010)","Medicare Savings Program Improvement Act of 2009",Democratic,06/04/2009," <p>Medicare Savings Program Improvement Act of 2009 - Amends title XVIII (Medicare) of the Social Security Act (SSA) to increase the income eligibility level to 150% of the federal poverty level (FPL) for benefits under the Medicare Savings Program (MSP) for qualified Medicare beneficiaries.</p> <p>Expands the Specified Low-Income Medicare Beneficiary (SLMB) Program to provide for the eligibility of individuals with incomes below 200% of FPL.</p> <p>Establishes an asset standard for qualified Medicare beneficiary (QMB) eligibility for 2011 of $27,500 (or $55,000 in the case of the combined value of the individual's assets or resources and the assets or resources of the individual's spouse) with subsequent years standard increased by the annual percentage increase in the consumer price index.</p> <p>Exempts pension benefits and life insurance policies from resources under the MSP programs.</p> <p>Prohibits any medical assistance for some or all Medicare cost-sharing under the MSP programs from being considered income or resources in determining eligibility for, or the amount of assistance or benefits provided under, any other federal, state, or local public benefit program.</p> <p></p> <p>Authorizes treatment of QMBs, SLMBs, and other dual eligibles as Medicare beneficiaries.</p> <p>Prohibits a state plan under SSA title XIX (Medicaid) from denying a claim from a provider or supplier with respect to Medicare cost-sharing for an eligible item or service on the basis that the provider or supplier does not have a Medicaid provider agreement in effect or does not otherwise serve all individuals entitled to Medicaid. Requires the state to create a mechanism through which providers or suppliers that do not otherwise have Medicaid provider agreements with the state can bill the state for Medicare cost-sharing for QMBs.</p> <p>Requires each state to: (1) identify those individuals who are Medicaid-eligible for Medicare cost-sharing and who are enrolled with a MedicareAdvantage (MA) plan; and (2) provide for Medicaid payment with respect to such individuals for the Medicare cost-sharing to which they are entitled.</p> <p>Requires the award of grants to: (1) states for outreach regarding Medicare enrollment assistance and benefit availability; and (2) Aging and Disability Resource Centers.</p> <p>Makes the date of the electronic transmission of low income subsidy (LIS) program data from the Commissioner of Social Security to the state Medicaid agency the date of filing of the application for MSP benefits</p> <p>Requires a state Medicaid plan to provide that the state enters into a modification of a Medicaid agreement with the Secretary to provide for enrollment in (buy-in to) the Medicare part A (Hospital Insurance) program by QMBs who are uninsured elderly individuals not otherwise eligible for hospital insurance benefits.</p> <p>Requires states to: (1) make MSP applications available on the Internet; and (2) allow individuals to specify a preferred language other than English for subsequent communication.<br> </p> <p>Requires a state Medicaid plan to provide that the state coordinates with the state agency that administers the supplemental nutrition assistance program (SNAP) benefits under the Food and Nutrition Act of 2008 to ensure that individuals applying for Medicaid have the opportunity to apply for, establish eligibility for, and, if eligible, receive SNAP program benefits.</p> <p>Repeals payment limitations on Medicare cost-sharing.</p>"
"H.R. 107",https://www.congress.gov/bill/111th-congress/house-bill/107,"111th Congress (2009-2010)","Securing Medicare and Retirement for Tomorrow Act of 2009",Republican,01/06/2009," <p>Securing Medicare and Retirement for Tomorrow Act of 2009 or SMART Act of 2009 - Amends title II (Old Age, Survivors and Disability Insurance) (OASDI) of the Social Security Act (SSA) to add a new part B (Personal Social Security Savings Program) under which each employer shall establish and maintain for each participating employee a personal Social Security account under a Social Security payroll deduction plan. Provides for the participation by self-employed individuals and the investment of personal Social Security account funds in one qualified Social Security mutual fund designated by the participating individual. </p> <p>Establishes the Personal Accounts Management and Review Board, and requires it to establish a program for designating qualified Social Security mutual funds.</p> <p>Provides for election of SSA title II part A (Insurance Benefits) in lieu of part B benefits at retirement.</p> <p>Establishes in the Treasury the Social Security Escrow Fund and provides for investment of its holdings.</p> <p>Amends SSA title XVIII (Medicare) with respect to personal Social Security accounts.</p> <p>Amends the Internal Revenue Code to impose a tax on the failure of Medicare retirees to obtain qualified health insurance coverage.</p> <p>Provides for a reduction in rate of the Federal Insurance Contributions Act (FICA) tax on employers if the Fund is ever projected to have excess funds during the ensuing calendar year, and will have no need to borrow funds for the next 10 calendar years.</p> <p>Prohibits collection of the FICA tax with respect to individuals who have attained retirement age.</p> <p>Excludes from an individual's gross income any distributions from a personal Social Security account or any amount received under a qualified Social Security annuity. </p> <p>Provides for budget reform transfers from the general fund of the Treasury to the Social Security Escrow Fund of any tax revenues in excess of specified target revenue amounts (if any) for the fiscal year.</p> <p>Amends the Congressional Budget Act of 1974 to provide for dedication of Social Security surpluses to reduction in the public debt.</p>"
"H.R. 2700",https://www.congress.gov/bill/111th-congress/house-bill/2700,"111th Congress (2009-2010)","Prescription Coverage Now Act of 2009",Democratic,06/04/2009," <p>Prescription Coverage for Now Act of 2009 - Amends part D (Voluntary Prescription Drug Benefit Program) of title XVIII (Medicare) of the Social Security Act (SSA) to direct the Commissioner of Social Security, through certain information requests to the Secretary of the Treasury, to provide for the identification of individuals potentially eligible for low-income subsidies (LIS) and transmit them low-income subsidy applications if they are also part D eligible.</p> <p>Requires the Secretary of Health and Human Services, jointly with the Commissioner, to develop a model, simplified low-income subsidy application and process.</p> <p>Amends the Internal Revenue Code to require the Secretary of the Treasury, upon the Commissioner's request, to disclose tax return information to facilitate identification of individuals likely to be eligible for Medicare prescription drug program low-income subsidies.</p> <p>Entitles low-income subsidy beneficiaries to retroactive reimbursement for previously incurred covered drug costs. Prescribes requirements for enhanced oversight and enforcement relating to such reimbursements.</p> <p>Establishes an asset standard for LIS eligibility for 2011 of $27,500 (or $55,000 in the case of the combined value of the individual's assets or resources and the assets or resources of the individual's spouse), increased in subsequent years by the annual percentage increase in the consumer price index.</p> <p>Exempts retirement benefits from resources under the LIS programs.</p> <p>Increases the income eligibility to 150% of the federal poverty level (FPL) for full benefits and 200% of the FPL for partial benefits under the LIS program.</p> <p>Authorizes indexing of deductible and cost-sharing above the annual out-of-pocket threshold for individuals with incomes below 200% of FPL.</p> <p>Prohibits the treating of LIS premium and cost-sharing subsidies as benefits, or otherwise taking them into account, in determining an individual's eligibility for, or amount of benefits under, any other federal program.</p> <p>Requires individuals eligible for Medicare Savings Programs to be deemed subsidy eligible individuals under LIS.</p> <p>Establishes a special enrollment period for subsidy eligible individuals under LIS.</p>"
